kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,dram_bytes_source,flops_source,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
hillis_steele,16,4096,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4416.0,2.05,0.06,48.07,,4224.0,240.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,16,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3936.0,2.89,6.34,46.85,,396672.0,147456.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,16,8192,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6752.0,15.34,9.99,56.84,,1054848.0,2277504.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,16,8192,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4288.0,2.38,0.1,48.02,,6784.0,284688.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,16,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4736.0,5.49,12.72,53.89,,921472.0,344064.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,16,8192,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,15168.0,20.22,4.5,58.96,,1056768.0,1178880.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,16,8192,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5248.0,2.43,0.06,48.58,,4992.0,1056.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,16,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4768.0,5.45,12.39,53.72,,921472.0,344064.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,16,8192,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9920.0,25.05,6.8,58.07,,1055488.0,3539328.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,16,8192,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4736.0,2.29,0.07,48.36,,4736.0,816.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,16,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4672.0,5.39,12.49,54.07,,921472.0,344064.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,16,16384,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9248.0,22.34,14.44,84.24,,2103424.0,4555008.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,16,16384,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4352.0,2.36,0.12,48.06,,7808.0,284688.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,16,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6208.0,8.44,20.5,83.61,,1971072.0,737280.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,16,16384,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,21088.0,28.82,6.38,85.91,,2105472.0,2357760.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,16,16384,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5664.0,2.69,0.07,48.68,,6016.0,2208.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,16,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6176.0,8.45,20.78,82.8,,1971072.0,737280.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,16,16384,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,13408.0,37.46,10.1,85.14,,2104192.0,7078656.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,16,16384,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5120.0,2.41,0.07,48.53,,6272.0,2352.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,16,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6112.0,8.43,20.32,84.02,,1971072.0,737280.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,16,32768,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,12192.0,33.55,21.67,85.59,,4202752.0,9110016.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,16,32768,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4448.0,2.33,0.14,48.44,,9856.0,284688.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,16,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,7936.0,12.23,32.69,82.59,,4070272.0,1523712.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,16,32768,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,31680.0,38.48,8.45,90.6,,4204288.0,4715520.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,16,32768,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6144.0,2.83,0.09,49.06,,8064.0,4512.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,16,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,8256.0,12.2,32.02,82.33,,4070400.0,1523712.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,16,32768,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19392.0,51.67,13.97,88.66,,4202880.0,14157312.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,16,32768,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5216.0,2.75,0.09,48.86,,7808.0,6192.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,16,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,8000.0,12.13,32.39,82.21,,4070272.0,1523712.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,16,65536,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19392.0,42.84,28.24,86.61,,8401664.0,18220032.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,16,65536,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4384.0,2.33,0.2,48.45,,14080.0,284688.0,ncu,ncu,22.0,17664.0,1024.0,,
