kernel,D,L,chunk_size,time_ms,correct,throughput_GB_s_timing,sm_util_pct,dram_util_pct,achieved_occupancy_pct,resident_warps_est,warp_efficiency_pct,registers_per_thread_peak,shared_mem_per_block_peak_bytes,block_size_peak,dram_bytes,dram_bytes_source,flops,flops_source,ai_flop_per_byte,gflops,dram_bw_gb_s,bandwidth_util_pct,l1_hit_rate_pct,l2_hit_rate_pct,roofline_bound,roofline_limit_gflops,roofline_efficiency_pct,utilization_bound
warp_shuffle,16,32768,1024,0.028768,1,218.696335,21.014921875,21.3318359375,77.89748697916667,49.85439166666667,,22.0,17792.0,1024.0,8282880.0,ncu,10918416.0,ncu,1.3181907742234584,379.5333704115684,287.91991101223584,21.3318359375,,,memory-bound,2687.790988641632,14.120643011880128,mixed
blelloch,16,32768,1024,0.045664,1,137.777151,29.018166666666666,11.558291666666669,83.57962500000001,53.49096,,25.0,17536.0,1024.0,8282752.0,ncu,6243744.0,ncu,0.7538248157134247,136.73230553608968,181.38472319551505,11.558291666666669,,,memory-bound,1537.0487992396731,8.895768670697157,compute-bound
hillis_steele,16,32768,1024,0.0352,1,178.734546,34.14403336604514,16.26888125613346,80.71112855740922,51.655122276741906,,18.0,17536.0,1024.0,8280960.0,ncu,15687216.0,ncu,1.8943716670530952,445.6595454545454,235.25454545454545,16.26888125613346,,,memory-bound,3862.623829121261,11.537741317044897,compute-bound
warp_shuffle,16,65536,1024,0.031904,1,394.399188,28.81348444444444,29.969617777777778,80.25839111111111,51.36537031111111,,22.0,17792.0,1024.0,16684416.0,ncu,21601296.0,ncu,1.294698957398329,677.0717151454362,522.9568706118355,29.969617777777778,,,memory-bound,2639.8911741351926,25.647713124660886,mixed
blelloch,16,65536,1024,0.066784,1,188.412069,34.53979810465595,13.989909353110837,87.95915121549237,56.29385677791512,,25.0,17536.0,1024.0,16684288.0,ncu,12536736.0,ncu,0.7514097095422951,187.72065165309056,249.8246286535697,13.989909353110837,,,memory-bound,1532.1243977567399,12.252311361136327,compute-bound
hillis_steele,16,65536,1024,0.048384,1,260.063494,42.64241082410824,20.904243542435427,84.79431734317343,54.268363099630996,,18.0,17536.0,1024.0,16685056.0,ncu,31426608.0,ncu,1.8835182812691789,649.5248015873016,344.84656084656086,20.904243542435427,,,memory-bound,3840.493775507856,16.91253363641789,compute-bound
warp_shuffle,16,131072,1024,0.050432,1,499.005073,35.47581446714522,42.877261181667585,82.05321369409165,52.51405676421866,,22.0,17792.0,1024.0,37649408.0,ncu,42967056.0,ncu,1.1412412115483994,851.9800126903554,746.5380710659898,42.877261181667585,,,memory-bound,2326.9908303471866,36.61295100863118,memory-bound
blelloch,16,131072,1024,0.111776,1,225.145144,39.717459485224026,18.506987607244998,90.58430648236416,57.97395614871306,,25.0,17536.0,1024.0,37715712.0,ncu,25122720.0,ncu,0.6661075362968092,224.75951903807615,337.4222731176639,18.506987607244998,,,memory-bound,1358.193266509194,16.548419476099255,compute-bound
hillis_steele,16,131072,1024,0.074112,1,339.564776,50.64266075388027,28.18291943828529,87.57121951219513,56.045580487804884,,18.0,17536.0,1024.0,37718784.0,ncu,62908464.0,ncu,1.6678285280882863,848.8296632124353,508.9430051813472,28.18291943828529,,,memory-bound,3400.7023687720157,24.960422029492257,compute-bound
warp_shuffle,64,1024,1024,0.021184,1,37.123868,7.967910052910053,2.867222222222222,47.71857142857142,30.53988571428571,,22.0,17792.0,1024.0,539776.0,ncu,2277504.0,ncu,4.219350248992175,107.51057401812687,25.480362537764346,2.867222222222222,,,memory-bound,8603.255157695045,1.2496499528084526,compute-bound
blelloch,64,1024,1024,0.02464,1,31.916884,11.070057803468208,2.069344894026975,48.64098265895954,31.130228901734103,,25.0,17536.0,1024.0,539520.0,ncu,589632.0,ncu,1.09288256227758,23.92987012987013,21.8961038961039,2.069344894026975,,,memory-bound,2228.3875444839855,1.0738648306083325,compute-bound
hillis_steele,64,1024,1024,0.022656,1,34.711865,10.825555555555555,2.5340277777777778,48.33185185185185,30.932385185185186,,18.0,17536.0,1024.0,537984.0,ncu,1769664.0,ncu,3.2894361170592434,78.11016949152544,23.745762711864412,2.5340277777777778,,,memory-bound,6707.160242683797,1.164578848056126,compute-bound
warp_shuffle,64,2048,1024,0.019712,1,79.792211,10.587227926078027,6.685462012320329,53.912299794661195,34.50387186858316,,22.0,17792.0,1024.0,1589888.0,ncu,3612864.0,ncu,2.272401577972788,183.28246753246754,80.65584415584416,6.685462012320329,,,memory-bound,4633.426817486515,3.955656898275829,mixed
blelloch,64,2048,1024,0.027008,1,58.236965,14.928180610889774,4.307184594953519,56.25436918990704,36.002796281540505,,25.0,17536.0,1024.0,1589888.0,ncu,1376256.0,ncu,0.8656307865711296,50.957345971563974,58.86729857819904,4.307184594953519,,,memory-bound,1765.0211738185333,2.8870671200686138,compute-bound
hillis_steele,64,2048,1024,0.024096,1,65.274903,16.34569176882662,5.563887915936952,55.1014711033275,35.264941506129595,,18.0,17536.0,1024.0,1588352.0,ncu,3736128.0,ncu,2.3522040454508826,155.05179282868525,65.91766268260292,5.563887915936952,,,memory-bound,4796.1440486743495,3.232842701451835,compute-bound
