kernel,D,L,phase1_time,phase2_time,phase3_time,other_time,total_time,phase1_pct,phase2_pct,phase3_pct,other_pct,phase1_launches,phase2_launches,phase3_launches,other_launches
blelloch,256,32768,411776.0,9952.0,88928.0,0.0,510656.0,80.63667126206292,1.9488657726532146,17.41446296528387,0.0,1,1,1,0
hillis_steele,256,32768,232960.0,8384.0,88576.0,0.0,329920.0,70.61105722599417,2.541222114451988,26.847720659553833,0.0,1,1,1,0
warp_shuffle,256,65536,242016.0,6624.0,186048.0,0.0,434688.0,55.67579505300353,1.523851590106007,42.80035335689046,0.0,1,1,1,0
blelloch,256,65536,818240.0,10912.0,186016.0,0.0,1015168.0,80.60143739755391,1.0748959778085991,18.3236666246375,0.0,1,1,1,0
hillis_steele,256,65536,457984.0,9248.0,186272.0,0.0,653504.0,70.08128488884536,1.4151405347174615,28.503574576437174,0.0,1,1,1,0
warp_shuffle,256,131072,475488.0,7040.0,392160.0,0.0,874688.0,54.360869247091536,0.8048584180873637,44.8342723348211,0.0,1,1,1,0
blelloch,256,131072,1624448.0,12128.0,392480.0,0.0,2029056.0,80.05929851122886,0.5977163764824628,19.34298511228867,0.0,1,1,1,0
hillis_steele,256,131072,906176.0,9952.0,393440.0,0.0,1309568.0,69.19655947610204,0.7599452643925325,30.043495259505423,0.0,1,1,1,0
warp_shuffle,512,1024,12320.0,8640.0,3296.0,0.0,24256.0,50.79155672823219,35.62005277044855,13.588390501319262,0.0,1,1,1,0
blelloch,512,1024,31808.0,7904.0,3264.0,0.0,42976.0,74.01340282948622,18.391660461653014,7.594936708860759,0.0,1,1,1,0
hillis_steele,512,1024,19296.0,6784.0,3264.0,0.0,29344.0,65.75790621592148,23.11886586695747,11.123227917121048,0.0,1,1,1,0
warp_shuffle,512,2048,19136.0,8800.0,8512.0,0.0,36448.0,52.50219490781387,24.14398595258999,23.353819139596137,0.0,1,1,1,0
blelloch,512,2048,58208.0,8864.0,8416.0,0.0,75488.0,77.10894446799492,11.742263671047054,11.148791860958033,0.0,1,1,1,0
hillis_steele,512,2048,34080.0,7776.0,8256.0,0.0,50112.0,68.00766283524904,15.517241379310345,16.47509578544061,0.0,1,1,1,0
warp_shuffle,512,4096,33376.0,8832.0,16192.0,0.0,58400.0,57.15068493150685,15.123287671232877,27.726027397260275,0.0,1,1,1,0
blelloch,512,4096,107040.0,10336.0,16480.0,0.0,133856.0,79.966531197705,7.721730815204399,12.311737987090606,0.0,1,1,1,0
hillis_steele,512,4096,61248.0,9024.0,16352.0,0.0,86624.0,70.70557813077207,10.41743627632065,18.87698559290728,0.0,1,1,1,0
warp_shuffle,512,8192,63232.0,8640.0,37440.0,0.0,109312.0,57.84543325526932,7.903981264637002,34.250585480093676,0.0,1,1,1,0
blelloch,512,8192,208832.0,11616.0,37440.0,0.0,257888.0,80.97778880754436,4.504280928154858,14.517930264300782,0.0,1,1,1,0
hillis_steele,512,8192,118272.0,10208.0,37728.0,0.0,166208.0,71.15902964959568,6.1417019638043895,22.699268386599922,0.0,1,1,1,0
warp_shuffle,512,16384,121824.0,8704.0,85600.0,0.0,216128.0,56.3665975718093,4.0272431151909975,39.6061593129997,0.0,1,1,1,0
blelloch,512,16384,411744.0,12928.0,85824.0,0.0,510496.0,80.65567604839215,2.532439039679057,16.81188491192879,0.0,1,1,1,0
hillis_steele,512,16384,232672.0,11136.0,85696.0,0.0,329504.0,70.61279984461494,3.3796251335340393,26.007575021851025,0.0,1,1,1,0
warp_shuffle,512,32768,241888.0,9088.0,183616.0,0.0,434592.0,55.65864074810397,2.091156763124954,42.25020248877108,0.0,1,1,1,0
blelloch,512,32768,818304.0,13952.0,183104.0,0.0,1015360.0,80.59249921210211,1.3740939174283013,18.033406870469587,0.0,1,1,1,0
hillis_steele,512,32768,457888.0,11712.0,184608.0,0.0,654208.0,69.99119546077088,1.7902563099197808,28.218548229309334,0.0,1,1,1,0
warp_shuffle,512,65536,477664.0,9088.0,391744.0,0.0,878496.0,54.37292827741959,1.0344953192729391,44.59257640330747,0.0,1,1,1,0
blelloch,512,65536,1624256.0,15392.0,390560.0,0.0,2030208.0,80.00441334089906,0.7581489187314797,19.237437740369458,0.0,1,1,1,0
hillis_steele,512,65536,911776.0,12704.0,389664.0,0.0,1314144.0,69.38174203131469,0.9667129325248983,29.65154503616042,0.0,1,1,1,0
warp_shuffle,512,131072,952704.0,9312.0,790816.0,0.0,1752832.0,54.352271067620855,0.5312545640426464,45.1164743683365,0.0,1,1,1,0
blelloch,512,131072,3242592.0,17248.0,788032.0,0.0,4047872.0,80.10609031115608,0.4261004300531242,19.46780925879079,0.0,1,1,1,0
hillis_steele,512,131072,1811392.0,13984.0,789920.0,0.0,2615296.0,69.26145262333594,0.5347004698512138,30.203846906812842,0.0,1,1,1,0
