kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
warp_shuffle,16,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2560.0,0.45,,46.72,,,,16.0,1024.0,1024.0,,
blelloch,16,1024,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9824.0,3.81,,51.0,,,,25.0,17536.0,1024.0,,
blelloch,16,1024,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4000.0,1.75,,47.48,,,,20.0,17408.0,1024.0,,
blelloch,16,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2560.0,0.45,,47.0,,,,16.0,1024.0,1024.0,,
hillis_steele,16,1024,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6944.0,4.44,,50.2,,,,16.0,17536.0,1024.0,,
hillis_steele,16,1024,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,3680.0,1.33,,44.47,,,,18.0,17408.0,1024.0,,
hillis_steele,16,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2560.0,0.45,,46.88,,,,16.0,1024.0,1024.0,,
warp_shuffle,16,2048,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5088.0,5.08,,47.92,,,,20.0,17792.0,1024.0,,
warp_shuffle,16,2048,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4160.0,2.48,,47.54,,,,22.0,17664.0,1024.0,,
warp_shuffle,16,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3872.0,1.2,,46.87,,,,16.0,1024.0,1024.0,,
blelloch,16,2048,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,10112.0,7.84,,47.86,,,,25.0,17536.0,1024.0,,
blelloch,16,2048,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4352.0,2.02,,47.94,,,,20.0,17408.0,1024.0,,
blelloch,16,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3936.0,1.15,,52.65,,,,16.0,1024.0,1024.0,,
hillis_steele,16,2048,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7040.0,8.97,,49.15,,,,16.0,17536.0,1024.0,,
hillis_steele,16,2048,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,3904.0,1.87,,47.34,,,,18.0,17408.0,1024.0,,
hillis_steele,16,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3808.0,1.19,,48.44,,,,16.0,1024.0,1024.0,,
warp_shuffle,16,4096,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5312.0,9.68,,47.72,,,,20.0,17792.0,1024.0,,
warp_shuffle,16,4096,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4352.0,2.37,,47.87,,,,22.0,17664.0,1024.0,,
warp_shuffle,16,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4128.0,2.93,,45.87,,,,16.0,1024.0,1024.0,,
blelloch,16,4096,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,10176.0,15.36,,48.33,,,,25.0,17536.0,1024.0,,
blelloch,16,4096,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4960.0,2.23,,46.02,,,,20.0,17408.0,1024.0,,
blelloch,16,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4064.0,2.92,,47.21,,,,16.0,1024.0,1024.0,,
hillis_steele,16,4096,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7264.0,17.36,,48.92,,,,16.0,17536.0,1024.0,,
hillis_steele,16,4096,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4448.0,2.06,,47.9,,,,18.0,17408.0,1024.0,,
hillis_steele,16,4096,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4032.0,2.83,,46.55,,,,16.0,1024.0,1024.0,,
warp_shuffle,16,8192,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6880.0,15.53,,54.95,,,,20.0,17792.0,1024.0,,
warp_shuffle,16,8192,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4288.0,2.4,,47.99,,,,22.0,17664.0,1024.0,,
warp_shuffle,16,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4768.0,5.55,,53.51,,,,16.0,1024.0,1024.0,,
blelloch,16,8192,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,15264.0,20.14,,58.77,,,,25.0,17536.0,1024.0,,
blelloch,16,8192,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5216.0,2.44,,49.59,,,,20.0,17408.0,1024.0,,
blelloch,16,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4672.0,5.51,,53.83,,,,16.0,1024.0,1024.0,,
hillis_steele,16,8192,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,10016.0,25.0,,58.05,,,,16.0,17536.0,1024.0,,
hillis_steele,16,8192,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4768.0,2.26,,49.76,,,,18.0,17408.0,1024.0,,
hillis_steele,16,8192,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4672.0,5.46,,53.55,,,,16.0,1024.0,1024.0,,
warp_shuffle,16,16384,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9280.0,22.63,,84.01,,,,20.0,17792.0,1024.0,,
warp_shuffle,16,16384,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4384.0,2.35,,48.16,,,,22.0,17664.0,1024.0,,
warp_shuffle,16,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6176.0,8.48,,86.72,,,,16.0,1024.0,1024.0,,
blelloch,16,16384,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,21216.0,28.9,,85.99,,,,25.0,17536.0,1024.0,,
blelloch,16,16384,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5632.0,2.67,,48.4,,,,20.0,17408.0,1024.0,,
blelloch,16,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6176.0,8.55,,81.22,,,,16.0,1024.0,1024.0,,
hillis_steele,16,16384,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,13632.0,37.37,,84.89,,,,16.0,17536.0,1024.0,,
hillis_steele,16,16384,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5184.0,2.4,,50.49,,,,18.0,17408.0,1024.0,,
hillis_steele,16,16384,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,6208.0,8.4,,82.54,,,,16.0,1024.0,1024.0,,
warp_shuffle,16,32768,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,12416.0,33.64,,85.51,,,,20.0,17792.0,1024.0,,
warp_shuffle,16,32768,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4384.0,2.35,,48.11,,,,22.0,17664.0,1024.0,,
warp_shuffle,16,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,8384.0,12.03,,80.38,,,,16.0,1024.0,1024.0,,
blelloch,16,32768,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,32160.0,38.44,,90.16,,,,25.0,17536.0,1024.0,,
blelloch,16,32768,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,5952.0,2.88,,48.87,,,,20.0,17408.0,1024.0,,
blelloch,16,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,8224.0,11.99,,81.93,,,,16.0,1024.0,1024.0,,
hillis_steele,16,32768,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19552.0,51.56,,88.42,,,,16.0,17536.0,1024.0,,
hillis_steele,16,32768,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5248.0,2.76,,48.64,,,,18.0,17408.0,1024.0,,
hillis_steele,16,32768,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,8320.0,11.83,,81.27,,,,16.0,1024.0,1024.0,,
warp_shuffle,16,65536,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,19456.0,42.87,,86.0,,,,20.0,17792.0,1024.0,,
warp_shuffle,16,65536,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4384.0,2.34,,49.11,,,,22.0,17664.0,1024.0,,
warp_shuffle,16,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,12448.0,15.91,,80.58,,,,16.0,1024.0,1024.0,,
blelloch,16,65536,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,58432.0,42.01,,93.31,,,,25.0,17536.0,1024.0,,
blelloch,16,65536,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6336.0,3.06,,48.77,,,,20.0,17408.0,1024.0,,
blelloch,16,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,12416.0,15.69,,81.67,,,,16.0,1024.0,1024.0,,
hillis_steele,16,65536,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,34432.0,58.64,,91.45,,,,16.0,17536.0,1024.0,,
hillis_steele,16,65536,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5664.0,3.02,,48.15,,,,18.0,17408.0,1024.0,,
hillis_steele,16,65536,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,12256.0,15.58,,83.0,,,,16.0,1024.0,1024.0,,
warp_shuffle,16,131072,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,33760.0,49.65,,86.41,,,,20.0,17792.0,1024.0,,
warp_shuffle,16,131072,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4576.0,2.37,,46.8,,,,22.0,17664.0,1024.0,,
warp_shuffle,16,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,19776.0,20.1,,79.39,,,,16.0,1024.0,1024.0,,
