=== SSM PREFIX SCAN METRICS REPORT ===
timing_csv: Results/profile_run_colab_20260428_201442/timing.csv
raw_dir:    Results/profile_run_colab_20260428_201442/raw_ncu
out_dir:    Results/profile_run_colab_20260428_201442
peak_bw_gbs=2039.000 peak_fp32_gflops=19500.000

=== PERFORMANCE TABLES (time_ms) ===
D=1
L,warp_shuffle,blelloch,hillis_steele
1024,0.0154,0.0164,0.0133
hillis_steele,1,8192,6976.0000,4640.0000,3776.0000,0.0000,15392.0000,45.32,30.15,24.53,0.00
warp_shuffle,1,16384,4928.0000,4480.0000,3968.0000,0.0000,13376.0000,36.84,33.49,29.67,0.00
blelloch,1,16384,9728.0000,5792.0000,3840.0000,0.0000,19360.0000,50.25,29.92,19.83,0.00
hillis_steele,1,16384,7008.0000,5312.0000,3840.0000,0.0000,16160.0000,43.37,32.87,23.76,0.00
warp_shuffle,1,32768,5152.0000,4480.0000,4000.0000,0.0000,13632.0000,37.79,32.86,29.34,0.00
blelloch,1,32768,9792.0000,6112.0000,4000.0000,0.0000,19904.0000,49.20,30.71,20.10,0.00
hillis_steele,1,32768,7008.0000,5376.0000,3904.0000,0.0000,16288.0000,43.03,33.01,23.97,0.00
warp_shuffle,1,65536,5280.0000,4288.0000,4192.0000,0.0000,13760.0000,38.37,31.16,30.47,0.00
blelloch,1,65536,10112.0000,6208.0000,4128.0000,0.0000,20448.0000,49.45,30.36,20.19,0.00
hillis_steele,1,65536,7232.0000,5344.0000,4192.0000,0.0000,16768.0000,43.13,31.87,25.00,0.00
warp_shuffle,1,131072,6752.0000,4640.0000,4864.0000,0.0000,16256.0000,41.54,28.54,29.92,0.00
blelloch,1,131072,15296.0000,6976.0000,4832.0000,0.0000,27104.0000,56.43,25.74,17.83,0.00
hillis_steele,1,131072,9984.0000,5952.0000,4800.0000,0.0000,20736.0000,48.15,28.70,23.15,0.00
warp_shuffle,16,1024,5056.0000,4352.0000,2560.0000,0.0000,11968.0000,42.25,36.36,21.39,0.00
blelloch,16,1024,9824.0000,4000.0000,2560.0000,0.0000,16384.0000,59.96,24.41,15.62,0.00
hillis_steele,16,1024,6944.0000,3680.0000,2560.0000,0.0000,13184.0000,52.67,27.91,19.42,0.00
warp_shuffle,16,2048,5088.0000,4160.0000,3872.0000,0.0000,13120.0000,38.78,31.71,29.51,0.00
blelloch,16,2048,10112.0000,4352.0000,3936.0000,0.0000,18400.0000,54.96,23.65,21.39,0.00
hillis_steele,16,2048,7040.0000,3904.0000,3808.0000,0.0000,14752.0000,47.72,26.46,25.81,0.00
warp_shuffle,16,4096,5312.0000,4352.0000,4128.0000,0.0000,13792.0000,38.52,31.55,29.93,0.00
blelloch,16,4096,10176.0000,4960.0000,4064.0000,0.0000,19200.0000,53.00,25.83,21.17,0.00
hillis_steele,16,4096,7264.0000,4448.0000,4032.0000,0.0000,15744.0000,46.14,28.25,25.61,0.00
warp_shuffle,16,8192,6880.0000,4288.0000,4768.0000,0.0000,15936.0000,43.17,26.91,29.92,0.00
blelloch,16,8192,15264.0000,5216.0000,4672.0000,0.0000,25152.0000,60.69,20.74,18.58,0.00
hillis_steele,16,8192,10016.0000,4768.0000,4672.0000,0.0000,19456.0000,51.48,24.51,24.01,0.00
warp_shuffle,16,16384,9280.0000,4384.0000,6176.0000,0.0000,19840.0000,46.77,22.10,31.13,0.00
blelloch,16,16384,21216.0000,5632.0000,6176.0000,0.0000,33024.0000,64.24,17.05,18.70,0.00
